hash,split,image_id,filename,duplicate_count
7b957d3e6e21b589b244a1042dc51bc8,all,259,img_000259.jpg,2
7b957d3e6e21b589b244a1042dc51bc8,all,4390,img_004390.jpg,2
8db93b0ed5f068d8503a887134f9bca1,all,260,img_000260.jpg,2
8db93b0ed5f068d8503a887134f9bca1,all,4391,img_004391.jpg,2
2d8b28b241f3e4f4258ed7180b9495a9,all,282,img_000282.jpg,2
2d8b28b241f3e4f4258ed7180b9495a9,all,4392,img_004392.jpg,2
799fd208a10acba8c8a7c375d1a8f5ca,all,345,img_000345.jpg,2
799fd208a10acba8c8a7c375d1a8f5ca,all,4393,img_004393.jpg,2
a1d86302c939c76f5513a401867ea736,all,372,img_000372.jpg,2
a1d86302c939c76f5513a401867ea736,all,4651,img_004651.jpg,2
96c93acd3b32c612d199f657c868c36b,all,377,img_000377.jpg,2
96c93acd3b32c612d199f657c868c36b,all,4653,img_004653.jpg,2
37a26c190946766a67e66a130530b8fe,all,379,img_000379.jpg,2
37a26c190946766a67e66a130530b8fe,all,4654,img_004654.jpg,2
5afa9bb725c0f944ad1e4158badb7eb1,all,415,img_000415.jpg,2
5afa9bb725c0f944ad1e4158badb7eb1,all,4655,img_004655.jpg,2
aead9b22803a5ee808eaa9dd4273ef79,all,416,img_000416.jpg,2
aead9b22803a5ee808eaa9dd4273ef79,all,4656,img_004656.jpg,2
41c47ebd2dea74acf084b1e772e9946f,all,418,img_000418.jpg,2
41c47ebd2dea74acf084b1e772e9946f,all,4657,img_004657.jpg,2
7f299db20ba5f194f1d0f58786250b1b,all,442,img_000442.jpg,2
7f299db20ba5f194f1d0f58786250b1b,all,4660,img_004660.jpg,2
e6f63c4e1b351243923e9beb76f06d71,all,459,img_000459.jpg,2
e6f63c4e1b351243923e9beb76f06d71,all,4664,img_004664.jpg,2
38a7cffa8c1b1c3c82ccef0f53d6dadd,all,460,img_000460.jpg,2
38a7cffa8c1b1c3c82ccef0f53d6dadd,all,4665,img_004665.jpg,2
c650cf06a5ecc4a8e8dc203a4eaf9649,all,474,img_000474.jpg,2
c650cf06a5ecc4a8e8dc203a4eaf9649,all,4666,img_004666.jpg,2
7edadea776a564b07c866083c4d756b8,all,489,img_000489.jpg,2
7edadea776a564b07c866083c4d756b8,all,4668,img_004668.jpg,2
bbe8d83398f44e9eb378a89f7e86a4c8,all,500,img_000500.jpg,2
bbe8d83398f44e9eb378a89f7e86a4c8,all,4670,img_004670.jpg,2
99dc89d61f10eb8f60676aaf97cce106,all,501,img_000501.jpg,2
99dc89d61f10eb8f60676aaf97cce106,all,4671,img_004671.jpg,2
964af415f28322c3d9e6a8b70cb91389,all,502,img_000502.jpg,2
964af415f28322c3d9e6a8b70cb91389,all,4672,img_004672.jpg,2
481ad1382e9b97a8e6c4223df4465d74,all,503,img_000503.jpg,2
481ad1382e9b97a8e6c4223df4465d74,all,4673,img_004673.jpg,2
c4238d7a7becbf3675b98c873889a804,all,504,img_000504.jpg,2
c4238d7a7becbf3675b98c873889a804,all,4674,img_004674.jpg,2
cd010125b66776a9e69bc58c4360aeec,all,506,img_000506.jpg,2
cd010125b66776a9e69bc58c4360aeec,all,4675,img_004675.jpg,2
c36725dda6aa12bf43a9d018c304d7c0,all,507,img_000507.jpg,2
c36725dda6aa12bf43a9d018c304d7c0,all,4676,img_004676.jpg,2
8126d911df21dfeb7dcb088806b0b9b1,all,508,img_000508.jpg,2
8126d911df21dfeb7dcb088806b0b9b1,all,4678,img_004678.jpg,2
845c861ad0b5d1f0135f9b4550fe7b67,all,511,img_000511.jpg,2
845c861ad0b5d1f0135f9b4550fe7b67,all,4679,img_004679.jpg,2
672f7bc5f3514401a13edd7aba5521e5,all,816,img_000816.jpg,2
672f7bc5f3514401a13edd7aba5521e5,all,4730,img_004730.jpg,2
e7be66d687f09c4dea89b8f88da3060a,all,836,img_000836.jpg,2
e7be66d687f09c4dea89b8f88da3060a,all,4734,img_004734.jpg,2
0f892cfe4fc9b3556ef0e0f65c48c9e7,all,1061,img_001061.jpg,2
0f892cfe4fc9b3556ef0e0f65c48c9e7,all,4737,img_004737.jpg,2
a0bcef8be7cff5d627321c574900adbf,all,1062,img_001062.jpg,2
a0bcef8be7cff5d627321c574900adbf,all,4739,img_004739.jpg,2
c729f562210f86e9ddcf3bbc6a0f0b79,all,1063,img_001063.jpg,2
c729f562210f86e9ddcf3bbc6a0f0b79,all,4741,img_004741.jpg,2
f1957cbcc879cf596b5dee51c9a9e8e3,all,1067,img_001067.jpg,2
f1957cbcc879cf596b5dee51c9a9e8e3,all,4742,img_004742.jpg,2
92b7198949be175c35a8720aa3ae6fb9,all,1068,img_001068.jpg,2
92b7198949be175c35a8720aa3ae6fb9,all,4743,img_004743.jpg,2
