img_id,category,bbox,area
1420,obstacle,"[639, 222, 1, 186]",186.0
4403,obstacle,"[291, 631, 22, 9]",198.0
4469,obstacle,"[222, 639, 88, 1]",88.0
4472,obstacle,"[47, 639, 144, 1]",144.0
4489,obstacle,"[358, 639, 63, 1]",63.0
4520,obstacle,"[410, 637, 70, 3]",210.0
4551,obstacle,"[0, 638, 56, 2]",112.0
4781,obstacle,"[588, 0, 51, 4]",204.0
4801,obstacle,"[517, 638, 84, 2]",168.0
4831,obstacle,"[216, 0, 197, 1]",197.0
4844,obstacle,"[348, 0, 137, 1]",137.0
1075,dog,"[463, 639, 80, 1]",80.0
677,person,"[480, 639, 159, 1]",159.0
677,person,"[0, 639, 180, 1]",180.0
748,person,"[114, 639, 93, 1]",93.0
757,person,"[0, 26, 1, 82]",82.0
758,person,"[323, 637, 62, 3]",186.0
766,person,"[407, 0, 71, 2]",142.0
1447,person,"[239, 638, 28, 2]",56.0
1447,person,"[261, 633, 27, 7]",189.0
1447,person,"[168, 637, 21, 3]",63.0
1449,person,"[240, 634, 27, 6]",162.0
1449,person,"[339, 0, 28, 8]",224.0
1449,person,"[339, 637, 28, 3]",84.0
1449,person,"[318, 0, 23, 8]",184.0
1449,person,"[318, 638, 23, 2]",46.0
1449,person,"[282, 0, 21, 10]",210.0
1449,person,"[210, 0, 19, 11]",209.0
1449,person,"[141, 0, 27, 4]",108.0
1449,person,"[0, 0, 34, 2]",68.0
1514,person,"[354, 632, 28, 8]",224.0
4625,person,"[235, 0, 54, 3]",162.0
4628,person,"[223, 309, 6, 21]",126.0
9383,person,"[305, 522, 9, 14]",126.0
4440,door,"[105, 639, 189, 1]",189.0
4500,door,"[0, 0, 216, 1]",216.0
