split,width,height,count
all,320,240,511
all,376,380,1
all,379,377,1
all,381,379,1
all,381,380,1
all,387,385,1
all,387,391,1
all,390,394,1
all,391,391,1
all,392,391,1
all,392,392,1
all,392,393,1
all,392,394,1
all,392,396,1
all,393,390,1
all,393,391,1
all,394,390,1
all,394,391,1
all,394,392,1
all,395,394,1
all,396,393,2
all,397,391,1
all,498,280,1
all,501,367,1
all,503,361,1
all,505,363,1
all,505,376,1
all,507,381,1
all,508,279,1
all,508,366,1
all,508,367,1
all,508,371,1
all,508,375,2
all,508,381,2
all,508,383,1
all,508,384,1
all,509,377,1
all,509,379,1
all,510,281,1
all,510,378,1
all,510,382,1
all,510,383,1
all,510,386,1
all,511,374,1
all,511,380,1
all,512,282,1
all,512,379,2
all,512,380,2
all,512,383,2
all,513,378,1
all,513,382,1
all,513,383,2
all,513,385,1
all,514,373,1
all,514,378,1
all,514,381,1
all,515,375,1
all,515,381,1
all,519,384,1
all,800,600,475
all,1008,1024,1
all,1024,559,9
all,1024,747,10
all,1024,765,46
all,1024,1024,7
