epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.6445,1.60495,3.35289,0.02678,0.42508,0.33238,0.30806,0.16365,1.56366,2.26538,0.03513,0.000369115,0.000369115,0.000369115
2,132.473,1.53448,2.43298,0.02514,0.51248,0.45294,0.45382,0.25911,1.48887,1.82848,0.03203,0.000737443,0.000737443,0.000737443
3,186.294,1.54909,2.2392,0.02534,0.54321,0.42819,0.45313,0.25729,1.57791,1.81096,0.03522,0.00109778,0.00109778,0.00109778
4,240.152,1.56675,2.13602,0.02578,0.61376,0.49621,0.52991,0.29951,1.52105,1.62605,0.0327,0.00108408,0.00108408,0.00108408
5,294.785,1.55527,2.04352,0.02534,0.58102,0.49797,0.52759,0.30617,1.52473,1.5777,0.03265,0.00106345,0.00106345,0.00106345
6,348.505,1.53228,1.99094,0.02487,0.63437,0.51563,0.55459,0.32706,1.49526,1.54177,0.03195,0.00103732,0.00103732,0.00103732
7,402.564,1.52222,1.91924,0.02459,0.68043,0.53953,0.59188,0.35611,1.46225,1.45345,0.03134,0.00100597,0.00100597,0.00100597
8,456.808,1.50542,1.8489,0.02428,0.68948,0.58003,0.6231,0.3719,1.43814,1.36583,0.03056,0.000969744,0.000969744,0.000969744
9,510.496,1.49554,1.82344,0.02399,0.67398,0.57029,0.61479,0.37366,1.46699,1.40754,0.03181,0.00092904,0.00092904,0.00092904
10,565.073,1.48396,1.78787,0.02398,0.69102,0.57138,0.63816,0.39332,1.40044,1.28856,0.02974,0.000884305,0.000884305,0.000884305
11,619.524,1.45404,1.73398,0.02336,0.71858,0.58791,0.65795,0.40782,1.349,1.3056,0.02797,0.000836028,0.000836028,0.000836028
12,673.415,1.46393,1.72878,0.02348,0.75563,0.5989,0.67488,0.42482,1.36513,1.19566,0.02891,0.000784738,0.000784738,0.000784738
13,727.548,1.43492,1.67,0.02275,0.7286,0.62056,0.67723,0.42595,1.34083,1.16735,0.02818,0.000730997,0.000730997,0.000730997
14,781.708,1.42033,1.64488,0.02243,0.73692,0.62612,0.68765,0.43785,1.30772,1.15507,0.02712,0.000675395,0.000675395,0.000675395
15,836.856,1.41715,1.62589,0.02226,0.75482,0.61255,0.69775,0.43223,1.34916,1.12907,0.02755,0.00061854,0.00061854,0.00061854
16,891.838,1.39518,1.58214,0.02199,0.75862,0.64696,0.71443,0.4598,1.29711,1.07543,0.02667,0.000561055,0.000561055,0.000561055
17,946.75,1.38135,1.55151,0.02145,0.78113,0.65232,0.72346,0.47334,1.26379,1.0505,0.02589,0.00050357,0.00050357,0.00050357
18,1000.71,1.37308,1.54277,0.02157,0.7722,0.66717,0.73623,0.4834,1.26603,1.00038,0.02592,0.000446715,0.000446715,0.000446715
19,1054.42,1.36175,1.52044,0.02142,0.78337,0.67361,0.74513,0.49604,1.2229,0.95584,0.02499,0.000391113,0.000391113,0.000391113
20,1107.93,1.33833,1.48057,0.0207,0.76303,0.68173,0.75461,0.50027,1.22383,0.95668,0.02472,0.000337372,0.000337372,0.000337372
21,1161.64,1.22571,1.11127,0.02368,0.79863,0.67048,0.76099,0.51156,1.20348,0.92027,0.02408,0.000286083,0.000286083,0.000286083
22,1215.04,1.20203,1.01199,0.0232,0.79793,0.69023,0.7705,0.51781,1.19068,0.8906,0.02355,0.000237805,0.000237805,0.000237805
23,1268.45,1.17818,0.98984,0.02258,0.80846,0.69455,0.77324,0.524,1.17634,0.8696,0.02337,0.00019307,0.00019307,0.00019307
24,1320.92,1.1589,0.94518,0.02189,0.82684,0.6881,0.77137,0.52861,1.1662,0.86118,0.02312,0.000152366,0.000152366,0.000152366
25,1374.13,1.14171,0.92846,0.02161,0.80842,0.70186,0.77464,0.53108,1.16668,0.84659,0.023,0.00011614,0.00011614,0.00011614
26,1426.87,1.14168,0.92007,0.0214,0.80946,0.70378,0.77746,0.53496,1.15517,0.8454,0.02287,8.47887e-05,8.47887e-05,8.47887e-05
27,1479.95,1.12639,0.90543,0.02109,0.8033,0.71217,0.78,0.53435,1.15756,0.83713,0.02285,5.86552e-05,5.86552e-05,5.86552e-05
28,1533.66,1.12259,0.90306,0.02089,0.80273,0.71515,0.78158,0.53913,1.15072,0.82907,0.02265,3.80262e-05,3.80262e-05,3.80262e-05
29,1586.96,1.12332,0.89693,0.02097,0.80556,0.71434,0.78098,0.53932,1.14643,0.83096,0.02257,2.31276e-05,2.31276e-05,2.31276e-05
30,1640.2,1.11388,0.88388,0.0208,0.80278,0.71335,0.78176,0.54039,1.14765,0.8249,0.0226,1.41227e-05,1.41227e-05,1.41227e-05
