epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.932,1.47411,2.68257,1.42735,0.00381,0.65067,0.06957,0.01583,2.16782,3.35369,1.8899,0.000155556,0.000155556,0.0807111
2,244.522,1.40742,1.89981,1.34774,0.63305,0.25433,0.36626,0.20312,1.51313,2.5772,1.33314,0.000315435,0.000315435,0.060871
3,363.935,1.3722,1.60096,1.32656,0.64124,0.53741,0.58416,0.3356,1.63224,1.89362,1.42908,0.00047483,0.00047483,0.0410304
4,483.444,1.3318,1.44635,1.29251,0.69607,0.65343,0.70013,0.39621,1.62664,1.66409,1.3917,0.000633375,0.000633375,0.0211889
5,603.252,1.32526,1.38214,1.3044,0.5486,0.56084,0.59507,0.31505,1.7411,1.7368,1.5161,0.000790707,0.000790707,0.00134626
6,724.208,1.32424,1.33089,1.29271,0.6438,0.57959,0.67378,0.40428,1.46579,1.51444,1.3498,0.000792391,0.000792391,0.000792391
7,844.152,1.30433,1.30682,1.29097,0.70312,0.60664,0.68176,0.41386,1.5264,1.47256,1.45426,0.000789058,0.000789058,0.000789058
8,960.96,1.28373,1.26514,1.26607,0.64085,0.73738,0.76995,0.51128,1.39425,1.49486,1.27376,0.000785132,0.000785132,0.000785132
9,1078.69,1.24144,1.21745,1.25811,0.75365,0.62944,0.69452,0.4383,1.50132,1.87275,1.33898,0.000780618,0.000780618,0.000780618
10,1196.87,1.19375,1.1295,1.22545,0.78382,0.63817,0.75656,0.49267,1.46355,1.36129,1.32997,0.000775524,0.000775524,0.000775524
11,1315.37,1.19868,1.1139,1.22151,0.65688,0.68733,0.7637,0.51121,1.45988,1.42709,1.34011,0.000769856,0.000769856,0.000769856
12,1432.88,1.1746,1.0638,1.21107,0.8572,0.68262,0.78189,0.45396,1.46794,1.25714,1.35214,0.000763625,0.000763625,0.000763625
13,1550.63,1.14928,1.0431,1.20262,0.71354,0.66051,0.71516,0.44432,1.52638,1.39799,1.40795,0.000756839,0.000756839,0.000756839
14,1668.76,1.14298,1.00829,1.19225,0.83361,0.62415,0.74694,0.50323,1.4179,1.25575,1.3191,0.000749508,0.000749508,0.000749508
15,1785.9,1.10208,0.99899,1.17333,0.73328,0.71986,0.77341,0.53062,1.35956,1.16425,1.29908,0.000741646,0.000741646,0.000741646
16,1903.66,1.09049,0.9836,1.17248,0.73685,0.7299,0.77164,0.51214,1.5073,1.28144,1.36099,0.000733262,0.000733262,0.000733262
17,2021.29,1.07825,0.9573,1.1644,0.73527,0.65455,0.72504,0.39829,1.51425,1.51206,1.41751,0.000724371,0.000724371,0.000724371
18,2139.63,1.07237,0.91295,1.15083,0.60745,0.76788,0.75678,0.44058,1.50478,1.30163,1.35669,0.000714986,0.000714986,0.000714986
19,2258.16,1.07395,0.92333,1.16462,0.84178,0.58902,0.75689,0.50008,1.41491,1.24278,1.27845,0.000705121,0.000705121,0.000705121
20,2377.36,1.02913,0.8765,1.13159,0.7015,0.74015,0.7681,0.5235,1.45165,1.2802,1.37985,0.000694792,0.000694792,0.000694792
21,2495.56,1.03133,0.87001,1.12374,0.65839,0.75995,0.71511,0.47981,1.35559,1.25218,1.27624,0.000684014,0.000684014,0.000684014
22,2616.15,1.0225,0.86181,1.1251,0.79831,0.68803,0.7869,0.51818,1.45087,1.18617,1.33691,0.000672805,0.000672805,0.000672805
23,2736.85,1.00618,0.83635,1.12146,0.80082,0.74901,0.77364,0.5157,1.44863,1.12843,1.31506,0.000661181,0.000661181,0.000661181
24,2854.73,1.00848,0.82161,1.13138,0.86135,0.67693,0.79562,0.49289,1.4684,1.18284,1.31472,0.000649161,0.000649161,0.000649161
25,2972.34,0.98559,0.81287,1.11068,0.84238,0.68461,0.7924,0.51159,1.36199,1.13426,1.27141,0.000636763,0.000636763,0.000636763
26,3090.32,0.99017,0.8062,1.11658,0.79687,0.76343,0.8098,0.51621,1.41232,1.12209,1.28509,0.000624006,0.000624006,0.000624006
27,3209.28,0.97651,0.8077,1.10942,0.853,0.73409,0.82351,0.5192,1.43417,1.08448,1.32913,0.000610909,0.000610909,0.000610909
28,3327.84,0.95978,0.77645,1.08924,0.79488,0.7807,0.8175,0.4801,1.4692,1.09657,1.32151,0.000597494,0.000597494,0.000597494
29,3446.31,0.95101,0.75992,1.08885,0.76669,0.73697,0.79318,0.52465,1.3906,1.1139,1.29432,0.00058378,0.00058378,0.00058378
30,3564.05,0.95389,0.75838,1.09727,0.77975,0.7782,0.80863,0.51404,1.3987,1.12646,1.26662,0.000569789,0.000569789,0.000569789
