split,conf_threshold,mAP50,precision,recall,f1,n_dets,tp,fp,fn,ap50_dog,p_dog,r_dog,f1_dog,tp_dog,fp_dog,fn_dog,ap50_door,p_door,r_door,f1_door,tp_door,fp_door,fn_door,ap50_obstacle,p_obstacle,r_obstacle,f1_obstacle,tp_obstacle,fp_obstacle,fn_obstacle,ap50_person,p_person,r_person,f1_person,tp_person,fp_person,fn_person,ap50_stair,p_stair,r_stair,f1_stair,tp_stair,fp_stair,fn_stair
valid,0.15,0.4165,0.2846,0.5228,0.3686,1407,399,1008,363,0.3283,0.2346,0.4067,0.2976,61,199,89,0.4418,0.3045,0.5500,0.3920,88,201,72,0.4093,0.2586,0.5976,0.3610,98,281,66,0.4229,0.3405,0.5220,0.4121,95,184,87,0.4802,0.2850,0.5377,0.3725,57,143,49
valid,0.20,0.4125,0.3053,0.5106,0.3821,1280,389,891,373,0.3256,0.2575,0.4000,0.3133,60,173,90,0.4337,0.3134,0.5250,0.3925,84,184,76,0.4034,0.2786,0.5793,0.3762,95,246,69,0.4196,0.3619,0.5110,0.4237,93,164,89,0.4802,0.3149,0.5377,0.3972,57,124,49
valid,0.25,0.4081,0.3223,0.4997,0.3918,1187,381,806,381,0.3256,0.2715,0.4000,0.3235,60,161,90,0.4304,0.3267,0.5125,0.3990,82,169,78,0.4004,0.2990,0.5671,0.3916,93,218,71,0.4122,0.3808,0.5000,0.4323,91,148,91,0.4720,0.3333,0.5189,0.4059,55,110,51
valid,0.30,0.4074,0.3403,0.4962,0.4037,1115,378,737,384,0.3256,0.2810,0.3933,0.3278,59,151,91,0.4306,0.3534,0.5125,0.4184,82,150,78,0.4006,0.3174,0.5671,0.4070,93,200,71,0.4080,0.3973,0.4890,0.4384,89,135,93,0.4720,0.3526,0.5189,0.4198,55,101,51
valid,0.35,0.4045,0.3569,0.4889,0.4126,1052,372,680,390,0.3258,0.3026,0.3933,0.3420,59,136,91,0.4230,0.3604,0.5000,0.4188,80,142,80,0.3938,0.3249,0.5488,0.4082,90,187,74,0.4081,0.4037,0.4835,0.4400,88,130,94,0.4720,0.3929,0.5189,0.4472,55,85,51
valid,0.40,0.4031,0.3789,0.4851,0.4254,983,369,614,393,0.3228,0.3277,0.3867,0.3547,58,119,92,0.4185,0.3714,0.4875,0.4216,78,132,82,0.3939,0.3462,0.5488,0.4245,90,170,74,0.4081,0.4293,0.4835,0.4548,88,117,94,0.4720,0.4198,0.5189,0.4641,55,76,51
test,0.15,0.6047,0.3309,0.7009,0.4496,1211,408,803,168,0.5138,0.2652,0.6034,0.3684,35,97,23,0.5365,0.2990,0.6397,0.4075,87,204,49,0.5515,0.3613,0.7225,0.4817,125,221,48,0.6641,0.3695,0.7426,0.4934,75,128,26,0.7574,0.3598,0.7963,0.4957,86,153,22
test,0.20,0.6023,0.3564,0.6948,0.4712,1111,403,708,173,0.5138,0.2823,0.6034,0.3846,35,89,23,0.5367,0.3245,0.6324,0.4289,86,179,50,0.5396,0.3866,0.6994,0.4979,121,192,52,0.6641,0.4032,0.7426,0.5226,75,111,26,0.7574,0.3857,0.7963,0.5196,86,137,22
test,0.25,0.5993,0.3778,0.6873,0.4876,1032,397,635,179,0.5139,0.3043,0.6034,0.4046,35,80,23,0.5299,0.3429,0.6176,0.4409,84,161,52,0.5312,0.4149,0.6763,0.5143,117,165,56,0.6641,0.4213,0.7426,0.5376,75,103,26,0.7574,0.4057,0.7963,0.5375,86,126,22
test,0.30,0.5975,0.3964,0.6826,0.5015,975,393,582,183,0.5139,0.3271,0.6034,0.4242,35,72,23,0.5299,0.3605,0.6176,0.4553,84,149,52,0.5223,0.4330,0.6532,0.5207,113,148,60,0.6642,0.4335,0.7426,0.5474,75,98,26,0.7574,0.4279,0.7963,0.5566,86,115,22
test,0.35,0.5922,0.4163,0.6711,0.5139,909,385,524,191,0.5062,0.3400,0.5862,0.4304,34,66,24,0.5300,0.3853,0.6176,0.4746,84,134,52,0.5033,0.4569,0.6127,0.5235,106,126,67,0.6642,0.4630,0.7426,0.5703,75,87,26,0.7574,0.4365,0.7963,0.5639,86,111,22
test,0.40,0.5880,0.4340,0.6630,0.5246,860,379,481,197,0.5062,0.3656,0.5862,0.4503,34,59,24,0.5297,0.4029,0.6103,0.4854,83,123,53,0.4878,0.4679,0.5896,0.5217,102,116,71,0.6587,0.4713,0.7327,0.5736,74,83,27,0.7574,0.4624,0.7963,0.5850,86,100,22
