split,conf_threshold,mAP50,precision,recall,f1,n_dets,tp,fp,fn,ap50_dog,p_dog,r_dog,f1_dog,tp_dog,fp_dog,fn_dog,ap50_door,p_door,r_door,f1_door,tp_door,fp_door,fn_door,ap50_obstacle,p_obstacle,r_obstacle,f1_obstacle,tp_obstacle,fp_obstacle,fn_obstacle,ap50_person,p_person,r_person,f1_person,tp_person,fp_person,fn_person,ap50_stair,p_stair,r_stair,f1_stair,tp_stair,fp_stair,fn_stair
valid,0.30,0.4151,0.3362,0.5065,0.4041,1152,387,765,375,0.3073,0.2591,0.3800,0.3081,57,163,93,0.4461,0.3636,0.5500,0.4378,88,154,72,0.4053,0.3333,0.5671,0.4199,93,186,71,0.4494,0.3629,0.5165,0.4263,94,165,88,0.4676,0.3618,0.5189,0.4264,55,97,51
valid,0.35,0.4125,0.3592,0.4969,0.4170,1060,380,680,382,0.3005,0.2769,0.3600,0.3130,54,141,96,0.4435,0.3789,0.5375,0.4444,86,141,74,0.4051,0.3552,0.5610,0.4350,92,167,72,0.4496,0.3852,0.5165,0.4413,94,150,88,0.4640,0.4000,0.5094,0.4481,54,81,52
valid,0.40,0.4113,0.3767,0.4895,0.4258,995,374,621,388,0.3006,0.2944,0.3533,0.3212,53,127,97,0.4446,0.4067,0.5312,0.4607,85,124,75,0.3975,0.3648,0.5427,0.4363,89,155,75,0.4496,0.3991,0.5110,0.4482,93,140,89,0.4640,0.4186,0.5094,0.4596,54,75,52
valid,0.45,0.4068,0.3978,0.4824,0.4360,926,368,558,394,0.2996,0.3252,0.3533,0.3387,53,110,97,0.4361,0.4171,0.5187,0.4624,83,116,77,0.3933,0.3884,0.5305,0.4485,87,137,77,0.4409,0.4194,0.5000,0.4561,91,126,91,0.4642,0.4390,0.5094,0.4716,54,69,52
valid,0.50,0.4028,0.4161,0.4748,0.4435,868,362,506,400,0.2954,0.3490,0.3467,0.3478,52,97,98,0.4251,0.4255,0.5000,0.4598,80,108,80,0.3829,0.4118,0.5122,0.4565,84,120,80,0.4464,0.4444,0.5055,0.4730,92,115,90,0.4640,0.4500,0.5094,0.4779,54,66,52
test,0.30,0.5896,0.3611,0.6789,0.4715,1056,388,668,188,0.5025,0.3017,0.6034,0.4023,35,81,23,0.5213,0.3398,0.6397,0.4439,87,169,49,0.5070,0.4000,0.6012,0.4804,104,156,69,0.6817,0.3679,0.7723,0.4984,78,134,23,0.7356,0.3962,0.7778,0.5250,84,128,24
test,0.35,0.5857,0.3767,0.6686,0.4819,996,382,614,194,0.4953,0.3119,0.5862,0.4072,34,75,24,0.5213,0.3583,0.6324,0.4574,86,154,50,0.4985,0.4122,0.5838,0.4833,101,144,72,0.6820,0.3900,0.7723,0.5183,78,122,23,0.7315,0.4109,0.7685,0.5355,83,119,25
test,0.40,0.5800,0.3919,0.6530,0.4898,936,375,561,201,0.4787,0.3100,0.5345,0.3924,31,69,27,0.5131,0.3767,0.6176,0.4680,84,139,52,0.4945,0.4231,0.5723,0.4865,99,135,74,0.6824,0.4127,0.7723,0.5379,78,111,23,0.7315,0.4368,0.7685,0.5570,83,107,25
test,0.45,0.5782,0.4130,0.6478,0.5044,877,371,506,205,0.4790,0.3229,0.5345,0.4026,31,65,27,0.5073,0.4000,0.6029,0.4809,82,123,54,0.4901,0.4575,0.5607,0.5039,97,115,76,0.6827,0.4333,0.7723,0.5552,78,102,23,0.7316,0.4511,0.7685,0.5685,83,101,25
test,0.50,0.5773,0.4375,0.6463,0.5218,827,370,457,206,0.4790,0.3523,0.5345,0.4247,31,57,27,0.5038,0.4286,0.5956,0.4985,81,108,55,0.4892,0.4732,0.5607,0.5132,97,108,76,0.6824,0.4535,0.7723,0.5714,78,94,23,0.7319,0.4798,0.7685,0.5907,83,90,25
