epoch,train_loss,train_cls_loss,train_reg_loss,train_ctr_loss,val_loss,val_cls_loss,val_reg_loss,val_ctr_loss,lr,img_size,phase
0,8.632195310278254,3.1233839124113647,3.6729909482893053,1.8358205072172396,2078.435175259908,2073.8137783408165,2.933320780595144,1.688076138496399,0.0003333333333333333,640,phase1
1,7.188133030147343,2.611020937070742,2.7806048602848263,1.796507248511681,1493.3792412281036,1489.0119743744533,2.6958115299542746,1.6714552640914917,0.0006666666666666666,640,phase1
2,6.733208320953033,2.424987955407782,2.5258918935126,1.7823284563127455,1660.8001396258671,1656.5839397907257,2.5564244389533997,1.6597753663857777,0.001,640,phase1
3,6.433914483248532,2.250106094957708,2.408901814576034,1.7749065488249391,1970.7406136194866,1966.5482868353527,2.5317792892456055,1.660547524690628,0.001,640,phase1
4,6.228688245291238,2.117585056430691,2.3413497117849498,1.7697534574257148,938.8713419040045,934.8549314240614,2.3605970541636148,1.6558134158452351,0.0009966195169530845,640,phase1
5,6.086719476259672,2.042720663678515,2.2778032952612572,1.7661955133899228,1319.3960293928783,1315.4283026655514,2.3171782890955606,1.6505485077699025,0.000986523783046383,640,phase1
6,5.909144936027108,1.9235148547769902,2.2219858876951446,1.763644163425152,803.4205851952235,799.4410826563835,2.324119766553243,1.655382772286733,0.0009698493257619149,640,phase1
7,5.85111175264631,1.9041902350855398,2.1849632433482578,1.7619582702825358,1188.7796340783436,1184.8448086977005,2.2862911025683084,1.6485343376795452,0.00094682163852969,640,phase1
8,5.784575278942402,1.8573999273908006,2.1671281253898536,1.7600471803120203,975.5597293774287,971.6706608235836,2.2416916489601135,1.647376835346222,0.0009177521313158977,640,phase1
9,5.710855929406135,1.8125507294476688,2.139765773500715,1.7585394159778134,860.7581419150034,856.8220714628696,2.287385622660319,1.6486848096052806,0.0008830339193373331,640,phase1
10,5.456262153583569,1.669484950683929,2.033568743821029,1.7532084747985168,440.90437916914624,437.03036456306774,2.2243884603182473,1.6496261358261108,0.0008431365068524735,416,phase1
11,5.345778418111277,1.6480748496212803,1.9511536936183551,1.7465498643917041,564.4336293538412,560.5299599468708,2.2568020820617676,1.6468673050403595,0.000798599437921808,416,phase1
12,5.232220445360456,1.5843329102128416,1.9036122626000709,1.7442752921974265,425.53083125750226,421.7667562564214,2.1176591515541077,1.646415889263153,0.000750025,416,phase1
13,5.14410737320617,1.5171006800054194,1.8838668760362562,1.7431398328844008,437.3130398988724,433.54313309987384,2.1224067409833274,1.6475000977516174,0.0006980700790312764,416,phase1
14,5.140262750478891,1.5161526740252316,1.882924273773864,1.741185766000014,561.4354458649954,557.5921508272489,2.1990014910697937,1.6442935566107433,0.0006434372761939095,416,phase1
15,5.098491128984389,1.494108958558722,1.8642624682122535,1.7401196851835146,351.35262989997864,347.599428832531,2.1098943849404654,1.6433066527048747,0.0005868654064245818,416,phase1
16,5.033949018834711,1.4666642906901601,1.8305318853357335,1.7367528519787632,455.24033296108246,451.4900276462237,2.1103605230649314,1.6399447619915009,0.0005291195072137923,416,phase1
17,4.997198953733339,1.4308689151491438,1.8290630474195375,1.737266991164658,392.09693725903827,388.30312643448514,2.1526091396808624,1.6412017146746318,0.00047098049278620764,416,phase1
18,4.956934069539164,1.408737905732878,1.814624580708179,1.733571558208256,297.24685589472455,293.4718627035618,2.132240871588389,1.6427523096402485,0.0004132345935754183,416,phase1
19,4.905518322200566,1.3801143215252802,1.793466832611587,1.7319372119484366,290.2417935530345,286.50877675414085,2.0878652036190033,1.6451515754063923,0.00035666272380609047,416,phase1
20,4.936696173070551,1.4135111491758745,1.7895647117069788,1.7336202833678696,197.09965546925864,193.34701797366142,2.110640207926432,1.6419972479343414,0.0003020299209687236,320,phase1
21,4.814730214548635,1.3467100301941672,1.738000723031851,1.7300194606676207,237.0031901995341,233.2200372417768,2.1430629193782806,1.640090028444926,0.00025007500000000016,320,phase1
22,4.788800815959553,1.3367238490136115,1.7226781229396442,1.7293988440062973,186.47972297668457,182.73400781551996,2.1065989236036935,1.6391162276268005,0.0002015005620781922,320,phase1
23,4.776879378727505,1.332396251814706,1.717049276435768,1.7274338530970144,167.34893675645193,163.59783845146498,2.1108561952908835,1.6402421693007152,0.00015696349314752673,320,phase1
24,4.755689835810399,1.311819647694682,1.7165928725357895,1.727277322129889,233.13003516197205,229.34966057538986,2.14227948586146,1.638095110654831,0.00011706608066266686,320,phase1
25,4.744370740848583,1.3214171895614037,1.6973410124307151,1.7256125513013902,190.62502936522165,186.91508478919664,2.0716275374094644,1.638317088286082,8.234786868410253e-05,320,phase1
26,4.704357597854111,1.2867137789726257,1.6921439131537637,1.7254998998327569,185.99416136741638,182.28490429123244,2.070673664410909,1.6385834018389385,5.3278361470310105e-05,320,phase1
27,4.669269755646423,1.2672562238934275,1.6783014902701745,1.723712036897848,181.29070484638214,177.5670260488987,2.0863131880760193,1.6373656491438549,3.0250674238085143e-05,320,phase1
28,4.673554787269006,1.276241191140898,1.6746041159053424,1.7227094933226867,177.59323652585348,173.87659054001173,2.078417400519053,1.6382285853226979,1.3576216953617091e-05,320,phase1
29,4.726266693282914,1.2980035753040524,1.7000946029201969,1.728168521608625,182.53496623039246,178.81582264105478,2.081248382727305,1.6378951668739319,3.480483046915586e-06,320,phase1
30,5.021469645447784,1.4322560121724894,1.8344390300604014,1.7547746071448693,98.30601342519124,94.43269084890683,2.199107458194097,1.6742151975631714,0.0001,224,phase2
31,4.746494759570111,1.2951836743197598,1.707234031551487,1.7440770746587397,95.62327710787456,91.80041014154752,2.1556374629338584,1.667229523261388,0.0001,224,phase2
32,4.601616655077253,1.2227794960304932,1.6419488610802115,1.7368883300613571,72.06122986475627,68.28575376669566,2.1127419769763947,1.6627341707547505,0.0001,224,phase2
33,4.477090356114147,1.1443727435646476,1.601441306072277,1.7312762907573156,62.069955706596375,58.31320971250534,2.0915858248869577,1.6651600499947865,0.0001,224,phase2
34,4.424310107807536,1.1270132490566798,1.567798335473616,1.7294985082123306,60.67158126831055,56.92663780848185,2.085602194070816,1.6593413650989532,9.996149036022412e-05,224,phase2
35,4.341383740142152,1.0832067793542213,1.5334635291780745,1.724713453879723,70.48450195789337,66.74713881810506,2.08081923921903,1.6565439303716023,9.984602081996975e-05,224,phase2
36,4.274659188239129,1.0436988806986547,1.5088749861979223,1.7220852807327942,67.69315751393636,63.9682147304217,2.065647085507711,1.659295568863551,9.965376942489858e-05,224,phase2
37,4.21572438963167,1.001288510285891,1.494622284239465,1.719813598381294,69.28099640210469,65.5823882818222,2.0428349375724792,1.655773252248764,9.938503261272713e-05,224,phase2
38,4.190014372815143,0.9935588162023943,1.4783060314891103,1.7181495611484234,71.91195340951283,68.20174338420232,2.0532912810643515,1.6569186747074127,9.904022475614137e-05,224,phase2
39,4.143434728894915,0.9709217561470284,1.4563945662844313,1.7161184064634554,62.98842338720957,59.31307356556257,2.0205037593841553,1.6548459927241008,9.861987752386394e-05,224,phase2
40,4.066284742984143,0.9278568697499705,1.424693328993661,1.7137345285206051,42.83348043759664,39.160288602113724,2.0150301655133567,1.6581616600354512,9.812463906085968e-05,224,phase2
41,4.023078053862184,0.9013620739454752,1.4122521733189677,1.7094638020127684,39.334353844324745,35.66243103146553,2.010668327411016,1.6612545251846313,9.755527298894293e-05,224,phase2
42,4.036095818320473,0.9174979145710285,1.4084246119300088,1.710173276754526,46.070682525634766,42.40986536939939,2.0028155148029327,1.6580015619595845,9.691265722932809e-05,224,phase2
43,3.9675827628963596,0.871462698166187,1.387412625354725,1.7087074400304438,56.632753213246666,52.98545269171397,1.9851758082707722,1.6621245841185253,9.619778264893877e-05,224,phase2
44,3.9296603229019667,0.8601374174212362,1.3664243417781787,1.7030985420876807,62.943896452585854,59.264744559923805,2.022314449151357,1.6568374236424763,9.541175153256281e-05,224,phase2
45,3.8892411032875818,0.8360504435968923,1.3505113255846632,1.7026793642358466,47.898839473724365,44.247630298137665,1.9939489761988323,1.6572601795196533,9.455577588320898e-05,224,phase2
46,3.8642397267477855,0.8251899218821264,1.3390068025379391,1.7000430245975873,52.077556212743126,48.40000632405281,2.021138072013855,1.6564117670059204,9.363117555328622e-05,224,phase2
47,3.8276354297176822,0.8078219746495341,1.3184993515957844,1.701314125742231,56.177005092302956,52.53533387184143,1.9803351561228435,1.661336104075114,9.263937620948691e-05,224,phase2
48,3.810467295594268,0.797525955425514,1.3125326554853838,1.7004086827183817,65.12466005484264,61.490303268035255,1.9767420490582783,1.657614787419637,9.158190713451215e-05,224,phase2
49,3.7774476061810502,0.786307535983704,1.2927480582352524,1.6983920086871136,38.32915723323822,34.6894508600235,1.9719806810220082,1.6677256226539612,9.046039886902864e-05,224,phase2
50,3.8136108000199873,0.7924859235574911,1.3214087132569199,1.6997161710655295,84.92536624272664,81.32178565859795,1.9434588054815929,1.6601216693719227,8.927658069749321e-05,224,phase2
51,3.722416710067581,0.7555061821099166,1.2704687930725433,1.696441718510219,41.41566824913025,37.77880392471949,1.973373532295227,1.6634907722473145,8.803227798172156e-05,224,phase2
52,3.7094315617949096,0.738506555557251,1.2752024367615418,1.6957225707861094,39.50155619780222,35.88491983215014,1.9503142734368641,1.666322112083435,8.67294093463125e-05,224,phase2
53,3.71272185084584,0.7487086663534354,1.2691946579859807,1.6948185229039454,49.46684189637502,45.832441667715706,1.9752255380153656,1.6591746509075165,8.536998372026806e-05,224,phase2
54,3.6580093719147064,0.7222512367662492,1.2429840440278526,1.692774094068087,39.04426562786102,35.42619142929713,1.951628585656484,1.6664455433686574,8.395609723937045e-05,224,phase2
55,3.6915512897156098,0.7487947413554559,1.248303548320309,1.6944530062623075,28.753424048423767,25.12456413110097,1.9508219261964161,1.6780379315217335,8.248993001409269e-05,224,phase2
56,3.646054744720459,0.7156756713495149,1.2394802531043252,1.690898820594117,38.98645806312561,35.35010891159376,1.9588202933470409,1.6775289575258892,8.097374276802622e-05,224,phase2
57,3.6120388298244266,0.693487802704612,1.2296180633398204,1.6889329781899085,53.673786322275795,50.063478817542396,1.9481199383735657,1.662187506755193,7.940987335200905e-05,224,phase2
58,3.5746452546381686,0.690256980749277,1.1957454059150192,1.6886428686288686,46.79640463987986,43.16591284672419,1.9604362050692241,1.670055627822876,7.780073313932915e-05,224,phase2
59,3.5777632168361118,0.682682855116142,1.2081410603208855,1.686939314171508,82.92966492970784,79.33813735842705,1.9240351517995198,1.667492389678955,7.614880330756165e-05,224,phase2
60,3.5872859142638824,0.6931825532363012,1.2047452671187264,1.6893580929263607,42.461067040761314,38.876161168018974,1.9178219338258107,1.6670839885870616,7.445663101277292e-05,224,phase2
61,3.568458682888157,0.6857671082674802,1.1934436644826616,1.6892479265129172,37.463522593180336,33.86359182993571,1.9297549029191334,1.6701757709185283,7.272682546199038e-05,224,phase2
62,3.5145876591022196,0.6464167957777506,1.1805975692612785,1.6875732914432064,41.167016545931496,37.56983643770218,1.9235083659489949,1.6736717124780018,7.096205388999456e-05,224,phase2
63,3.524021879657284,0.6594790361084781,1.177519489120651,1.6870233632706024,38.73515252272288,35.142728954553604,1.9251013497511547,1.667322297890981,6.916503744663627e-05,224,phase2
64,3.5100495658078037,0.6470055069242205,1.1803488993382716,1.6826951660952725,44.86694065729777,41.2725019355615,1.9203194777170818,1.6741192142168682,6.73385470010208e-05,224,phase2
65,3.493691834774646,0.6414181442706139,1.1691086462565832,1.6831650275450487,42.60796066125234,39.006616274515785,1.921598881483078,1.6797455648581188,6.548539886902865e-05,224,phase2
66,3.5107724902394053,0.655417066354018,1.1706751427807651,1.684680278484638,32.36929694811503,28.78194401661555,1.9090135494867961,1.6783393422762554,6.360845047076048e-05,224,phase2
67,3.4737194187038547,0.6376458435923189,1.1540433181511176,1.6820302376380334,43.076188921928406,39.48902950684229,1.9163397153218586,1.670819749434789,6.17105959246025e-05,224,phase2
68,3.464912317611359,0.6307334592054178,1.1494320120130266,1.6847468680077857,58.380797346433006,54.80001178383827,1.9154815673828125,1.6653039554754894,5.9794761584705636e-05,224,phase2
69,3.437296139014946,0.6182555094525054,1.1390528010798024,1.6799878275001443,50.370868603388466,46.78484699130058,1.9139992992083232,1.6720223327477772,5.786390152875956e-05,224,phase2
70,3.4832981523576674,0.6402232325994052,1.158509272140461,1.6845656541677623,39.71139438947042,36.11499153574308,1.9125006596247356,1.683902233839035,5.592099300301902e-05,224,phase2
71,3.4659628239306777,0.6339015439971463,1.151441644181262,1.6806196380447556,38.25239094098409,34.63628753026327,1.9224656621615093,1.693637748559316,5.396903183160588e-05,224,phase2
72,3.402352314728957,0.5973737577160636,1.1250048188062816,1.6799737241241959,57.71684996287028,54.13558063904444,1.905081033706665,1.6761883894602458,5.2011027797165496e-05,224,phase2
73,3.37764027092483,0.5848152833980519,1.1129082644378745,1.679916725053892,47.93247604370117,44.358215967814125,1.9027991195519764,1.6714609762032826,5.005000000000002e-05,224,phase2
74,3.3937302369337816,0.5968977923576648,1.1160522987554362,1.6807801330482566,49.02490508556366,45.451578269402184,1.8956931034723918,1.6776336828867595,4.808897220283455e-05,224,phase2
75,3.3925780961801717,0.6011757791697324,1.11208088188381,1.6793214213717116,30.04613161087036,26.44546244541804,1.9142192602157593,1.6864498555660248,4.613096816839417e-05,224,phase2
