epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8346,1.21152,2.91709,1.44169,0.65993,0.4806,0.56369,0.35452,1.28096,2.21124,1.38059,0.000366308,0.000366308,0.000366308
2,34.6988,1.20554,1.89996,1.40245,0.64471,0.6241,0.65922,0.38899,1.30947,1.62615,1.42976,0.000734644,0.000734644,0.000734644
3,48.4571,1.22198,1.68127,1.4015,0.69174,0.66646,0.69948,0.40923,1.31637,1.43257,1.3917,0.001095,0.001095,0.001095
4,61.8845,1.20823,1.50969,1.38559,0.69517,0.64124,0.67948,0.40197,1.36275,1.42995,1.45219,0.00108408,0.00108408,0.00108408
5,74.0382,1.1948,1.4275,1.37645,0.72804,0.62725,0.70243,0.42216,1.32556,1.37752,1.41129,0.00106345,0.00106345,0.00106345
6,85.707,1.15162,1.29876,1.34462,0.71769,0.65846,0.73706,0.45986,1.25231,1.23613,1.34046,0.00103732,0.00103732,0.00103732
7,97.2379,1.1144,1.22084,1.31462,0.77707,0.58808,0.70365,0.43083,1.31463,1.35075,1.41104,0.00100597,0.00100597,0.00100597
8,108.705,1.09696,1.16456,1.29738,0.72051,0.61221,0.70194,0.43628,1.27746,1.3281,1.374,0.000969744,0.000969744,0.000969744
9,120.252,1.06973,1.12082,1.29011,0.70982,0.68535,0.72569,0.4407,1.34752,1.28395,1.38439,0.00092904,0.00092904,0.00092904
10,131.795,1.08544,1.10221,1.29346,0.71669,0.68799,0.76405,0.49548,1.1898,1.14243,1.30522,0.000884305,0.000884305,0.000884305
11,143.338,1.03576,1.05625,1.26429,0.74081,0.67825,0.74931,0.47097,1.25393,1.16877,1.33568,0.000836028,0.000836028,0.000836028
12,154.907,0.99316,0.98985,1.23762,0.74811,0.67785,0.74266,0.46713,1.26819,1.16958,1.35735,0.000784738,0.000784738,0.000784738
13,166.49,0.98623,0.96141,1.23709,0.75051,0.67218,0.74942,0.48153,1.23099,1.20121,1.33728,0.000730997,0.000730997,0.000730997
14,177.975,1.01164,0.98479,1.24375,0.77026,0.67052,0.75827,0.48876,1.21966,1.12756,1.31099,0.000675395,0.000675395,0.000675395
15,189.835,0.97423,0.94028,1.22115,0.81265,0.63629,0.76684,0.5012,1.20899,1.12504,1.30562,0.00061854,0.00061854,0.00061854
16,201.412,0.94448,0.88456,1.1996,0.77436,0.67474,0.7551,0.49153,1.22626,1.11404,1.31005,0.000561055,0.000561055,0.000561055
17,212.933,0.9238,0.87479,1.18903,0.81035,0.68109,0.78899,0.51399,1.21273,1.06962,1.2959,0.00050357,0.00050357,0.00050357
18,224.814,0.9088,0.86332,1.1741,0.81034,0.67971,0.78858,0.51462,1.20183,1.08231,1.28741,0.000446715,0.000446715,0.000446715
19,236.432,0.90321,0.83404,1.17706,0.75765,0.68372,0.76834,0.50112,1.20729,1.09004,1.28656,0.000391113,0.000391113,0.000391113
20,247.988,0.88986,0.82524,1.17598,0.75576,0.7012,0.77472,0.51065,1.19435,1.11582,1.27766,0.000337372,0.000337372,0.000337372
21,260.402,0.71092,0.56807,1.08182,0.78363,0.67142,0.7648,0.50652,1.1623,1.11728,1.26789,0.000286083,0.000286083,0.000286083
22,271.622,0.68626,0.5268,1.06015,0.79037,0.68021,0.76963,0.50795,1.19412,1.10624,1.27828,0.000237805,0.000237805,0.000237805
23,282.86,0.6567,0.49664,1.04717,0.81415,0.67095,0.78784,0.52469,1.16868,1.06939,1.26864,0.00019307,0.00019307,0.00019307
24,294.139,0.64197,0.47221,1.03758,0.78098,0.6791,0.77876,0.51377,1.17636,1.13421,1.28081,0.000152366,0.000152366,0.000152366
25,305.408,0.62219,0.45428,1.02569,0.76806,0.70081,0.77878,0.51862,1.16477,1.10652,1.27901,0.00011614,0.00011614,0.00011614
26,316.664,0.62011,0.44897,1.02014,0.79134,0.69167,0.78032,0.52019,1.16635,1.09931,1.27231,8.47887e-05,8.47887e-05,8.47887e-05
27,327.913,0.60547,0.44074,1.01243,0.7716,0.70491,0.77435,0.51712,1.17322,1.103,1.27777,5.86552e-05,5.86552e-05,5.86552e-05
28,339.154,0.5983,0.42997,1.00163,0.78865,0.67459,0.77437,0.51975,1.16485,1.11425,1.27001,3.80262e-05,3.80262e-05,3.80262e-05
29,350.371,0.58939,0.43446,1.00247,0.76009,0.70386,0.77239,0.52022,1.1639,1.11951,1.27045,2.31276e-05,2.31276e-05,2.31276e-05
30,361.62,0.58537,0.43288,0.999,0.78736,0.68903,0.77322,0.52,1.1622,1.11747,1.26854,1.41227e-05,1.41227e-05,1.41227e-05
