name,timestamp,status,model,imgsz,epochs,batch,mosaic,mixup,map50_keras,map50_95_keras,precision_keras,recall_keras,f1_keras,map50_tflite,gap_keras_tflite,tflite_size_mb,inference_ms
yolo26n_v2,20260206_125057,completed,yolo26n.pt,224,5,16,1.0,0.15,0.658708950064908,0.4475882002048527,0.7550475783987263,0.5343176755288093,0.6257889543320011,0.0,0.658708950064908,2.5536928176879883,4.735483429283531
yolo26n_v2,20260206_134026,completed,yolo26n.pt,224,5,16,1.0,0.15,0.658708950064908,0.4475882002048527,0.7550475783987263,0.5343176755288093,0.6257889543320011,0.0,0.658708950064908,2.5536928176879883,5.248872933680062
yolo26n_v1,20260204_161835,completed,yolo26n.pt,224,150,16,1.0,0.15,0.6230530313043108,0.367973647091742,0.6715930295106263,0.5303030303030303,0.5926432918585242,0.0,0.6230530313043108,2.537228584289551,4.800621285495988
MBNTv3_ssdlite_v3,,pending,yolo26n.pt,224,100,16,1.0,0.1,0.6058982422049768,0.0,0.20364741641337386,0.41875,0.2740286298568507,0.5744022329170748,0.03149600928790197,0.0,0.0
MBNTv3L_ssdlite_v6,,pending,yolo26n.pt,224,100,16,1.0,0.1,0.5757247281160325,0.0,0.35802469135802467,0.3625,0.3602484472049689,0.5766286299316055,0.0009039018155729828,0.0,0.0
MBNTv3_ssdlite_v1,,pending,yolo26n.pt,224,100,16,1.0,0.1,0.567456455725858,0.0,0.26744186046511625,0.43125,0.33014354066985646,0.5509252590113616,0.016531196714496432,0.0,0.0
MBNTv3_ssdlite_v7,,pending,yolo26n.pt,224,100,16,1.0,0.1,0.5591262342059602,0.0,0.423841059602649,0.4,0.41157556270096457,0.5437319264311397,0.015394307774820537,0.0,0.0
MBNTv3_ssdlite_v5,,pending,yolo26n.pt,224,100,16,1.0,0.1,0.5491688199827736,0.0,0.40714285714285714,0.35625,0.37999999999999995,0.4704693564974196,0.07869946348535395,0.0,0.0
MBNTv3_ssdlite_v4,,pending,yolo26n.pt,224,100,16,1.0,0.1,0.45232815964523276,0.0,0.6933333333333334,0.325,0.4425531914893618,0.45011086474501105,0.0022172949002217113,0.0,0.0
MBNTv3_ssdlite_v2,,pending,yolo26n.pt,224,100,16,1.0,0.1,0.40584415584415584,0.0,0.6862745098039216,0.21875,0.33175355450236965,0.3623737373737374,0.04347041847041844,0.0,0.0
yolo26n_v0,20260204_111841,completed,yolo26n.pt,224,2,16,0.5,0.5,0.3742223557692308,0.2251780358493261,0.6875,0.051082251082251076,0.09509854201773021,0.0,0.3742223557692308,2.538005828857422,7.091484874127859
yolo26n_v0,20260204_112026,completed,yolo26n.pt,224,2,16,0.5,0.5,0.3742223557692308,0.2251780358493261,0.6875,0.051082251082251076,0.09509854201773021,0.0,0.3742223557692308,2.538005828857422,5.053413919655673
