epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,232.535,1.80772,7.26143,0.02951,0.00464,0.87989,0.16117,0.07778,1.44922,8.04466,0.02942,0.00988372,0.00329457,0.00988372,0.00329457,0.076938,0.0703488,0.00988372,0.00329457
2,429.889,1.70905,5.95154,0.02689,0.2929,0.38331,0.27686,0.14036,1.50287,6.52294,0.0315,0.0198816,0.00662719,0.0198816,0.00662719,0.0536025,0.0403481,0.0198816,0.00662719
3,610.801,1.75909,5.31497,0.0271,0.4768,0.4417,0.39008,0.17404,1.71999,5.26915,0.03773,0.0298707,0.00995692,0.0298707,0.00995692,0.0302583,0.0103445,0.0298707,0.00995692
4,789.743,1.81058,5.06284,0.02865,0.38833,0.37269,0.37291,0.13745,1.98043,4.95754,0.04633,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
5,967.595,1.80004,4.96713,0.02893,0.49646,0.4284,0.42054,0.20205,1.81718,4.6172,0.04184,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
6,1145.34,1.80427,4.70091,0.0285,0.50114,0.40123,0.40885,0.16409,2.02471,4.55186,0.04487,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
7,1324.5,1.81269,4.56502,0.02902,0.58567,0.30903,0.38293,0.15379,2.00269,4.9801,0.04582,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
8,1504.24,1.81506,4.58209,0.02918,0.54628,0.48981,0.5039,0.22186,1.80711,3.74931,0.03958,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
9,1682.74,1.80099,4.52094,0.02926,0.62616,0.46289,0.51518,0.26101,1.77007,3.84128,0.03903,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
10,1858.88,1.78398,4.35478,0.02836,0.58011,0.55698,0.55134,0.2624,1.74672,3.94785,0.03753,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
