epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.3197,1.4808,2.57892,1.39208,0.00457,0.71765,0.21908,0.13015,1.85975,3.26,1.87964,0.000324074,0.000324074,0.0679167
2,183.99,1.44947,1.83698,1.32499,0.61638,0.36307,0.49091,0.29607,1.47342,2.27672,1.28974,0.000657247,0.000657247,0.0349165
3,274.062,1.42398,1.59738,1.30832,0.59345,0.49807,0.47701,0.29808,1.51106,1.87913,1.30821,0.000989773,0.000989773,0.0019157
4,363.452,1.36445,1.44995,1.28738,0.5815,0.45188,0.49463,0.29216,1.59691,1.72714,1.36987,0.000997803,0.000997803,0.000997803
5,455.168,1.30191,1.33972,1.24969,0.57473,0.69172,0.62699,0.33721,1.58193,1.6794,1.36401,0.000996097,0.000996097,0.000996097
6,544.802,1.30456,1.29543,1.25261,0.28429,0.54455,0.44481,0.22419,1.81858,2.54615,1.70115,0.000993906,0.000993906,0.000993906
7,635.956,1.24154,1.24267,1.23012,0.71329,0.53713,0.61388,0.35663,1.69796,2.79059,1.41548,0.000991232,0.000991232,0.000991232
8,725.777,1.22455,1.18738,1.20992,0.63458,0.54152,0.57864,0.35144,1.60407,1.72874,1.38901,0.000988079,0.000988079,0.000988079
9,818.597,1.1942,1.13094,1.19467,0.62498,0.58962,0.67665,0.37048,1.5685,1.31748,1.2955,0.000984449,0.000984449,0.000984449
10,909.032,1.19,1.08102,1.19229,0.71403,0.59068,0.68361,0.41759,1.51297,1.56849,1.32713,0.000980345,0.000980345,0.000980345
11,997.022,1.1756,1.06814,1.17552,0.70693,0.69846,0.75615,0.4606,1.50119,1.41127,1.29883,0.000975773,0.000975773,0.000975773
12,1086.04,1.12038,0.98592,1.15226,0.72692,0.60646,0.67369,0.40283,1.46337,1.52876,1.28211,0.000970736,0.000970736,0.000970736
13,1178.09,1.08903,0.94093,1.1398,0.7725,0.63102,0.75008,0.42127,1.54594,1.37893,1.33563,0.000965239,0.000965239,0.000965239
14,1267.58,1.0996,0.9636,1.14043,0.64009,0.70088,0.67074,0.40996,1.50165,1.58504,1.29383,0.000959289,0.000959289,0.000959289
15,1359.02,1.07997,0.94147,1.12659,0.66753,0.71102,0.68285,0.45351,1.40491,1.26456,1.22428,0.000952889,0.000952889,0.000952889
16,1449.1,1.07018,0.92269,1.12073,0.77435,0.60717,0.73234,0.44005,1.55467,1.59396,1.36034,0.000946048,0.000946048,0.000946048
17,1538.83,1.04195,0.89445,1.11222,0.78091,0.76285,0.79213,0.50434,1.50772,1.24741,1.30503,0.000938772,0.000938772,0.000938772
18,1628.38,1.04378,0.88708,1.11945,0.7489,0.66273,0.72092,0.45984,1.4822,1.41383,1.27544,0.000931067,0.000931067,0.000931067
19,1717.34,1.01451,0.86266,1.10005,0.80226,0.67571,0.79033,0.49257,1.50213,1.2373,1.23915,0.000922942,0.000922942,0.000922942
